transactionAmount,transactionAmountDeviation,timeAnomaly,locationDistance,merchantNovelty,transactionFrequency
1200,0.18,0.12,1,0.15,1
1500,0.2,0.14,2,0.18,1
1800,0.22,0.15,2,0.2,2
2000,0.24,0.16,3,0.22,2
2300,0.26,0.18,3,0.24,2
2500,0.28,0.19,4,0.26,2
2700,0.3,0.2,4,0.28,3
2900,0.32,0.21,5,0.3,3
3100,0.34,0.22,5,0.32,3
3300,0.36,0.23,6,0.34,3
3500,0.38,0.24,6,0.36,3
3700,0.4,0.25,7,0.38,3
3900,0.42,0.26,7,0.4,4
4100,0.44,0.27,8,0.42,4
4300,0.45,0.28,8,0.44,4
4500,0.46,0.29,9,0.45,4
4200,0.43,0.27,8,0.41,4
3800,0.41,0.26,7,0.39,3
3400,0.37,0.24,6,0.35,3
3000,0.33,0.22,5,0.31,3
