transactionAmount,transactionAmountDeviation,timeAnomaly,locationDistance,merchantNovelty,transactionFrequency
5200,0.48,0.35,15,0.45,4
6100,0.52,0.4,18,0.48,4
5800,0.5,0.38,16,0.46,5
6500,0.47,0.34,14,0.44,3
7000,0.49,0.36,22,0.47,5
7200,0.54,0.42,21,0.51,6
7600,0.55,0.43,23,0.52,6
6800,0.51,0.39,19,0.49,4
7400,0.56,0.44,25,0.53,6
8000,0.58,0.46,28,0.55,7
8200,0.57,0.45,26,0.54,7
7800,0.56,0.44,24,0.53,6
6900,0.5,0.37,20,0.48,5
7100,0.52,0.39,21,0.49,5
8300,0.59,0.47,30,0.56,7
8500,0.6,0.48,32,0.57,8
8700,0.61,0.49,34,0.58,8
8900,0.62,0.5,36,0.59,8
9100,0.63,0.51,38,0.6,9
9300,0.64,0.52,40,0.61,9
